Target_ID	Target_Name	Chr	Genomic_Pos	Target_Pos	H1_Depth	H1_Methylation_Freq	H2_Depth	H2_Methylation_Freq	Delta_Methylation	ASM_Status
T6	IRF4	chr6	392752	524	4	0.25	5	0.4	0.15	Concordant
T6	IRF4	chr6	392776	548	4	0.5	8	0.5	0.0	Concordant
T6	IRF4	chr6	392804	576	3	0.3333	8	0.625	0.2917	AlleleSpecific
T6	IRF4	chr6	392808	580	4	0.25	8	0.5	0.25	AlleleSpecific
T6	IRF4	chr6	392811	583	5	0.4	10	0.2	0.2	Concordant
T6	IRF4	chr6	392813	585	6	0.0	7	0.5714	0.5714	AlleleSpecific
T6	IRF4	chr6	392818	590	4	0.5	10	0.2	0.3	AlleleSpecific
T6	IRF4	chr6	392841	613	5	0.2	7	0.0	0.2	Concordant
T6	IRF4	chr6	392872	644	4	0.25	8	0.375	0.125	Concordant
T6	IRF4	chr6	392874	646	4	0.5	6	0.3333	0.1667	Concordant
T6	IRF4	chr6	392881	653	3	0.3333	10	0.4	0.0667	Concordant
T6	IRF4	chr6	392887	659	4	0.0	8	0.5	0.5	AlleleSpecific
T6	IRF4	chr6	392894	666	4	0.75	7	0.7143	0.0357	Concordant
T6	IRF4	chr6	392898	670	4	0.5	5	0.6	0.1	Concordant
T6	IRF4	chr6	392908	680	4	0.5	7	0.7143	0.2143	Concordant
T6	IRF4	chr6	392921	693	6	0.0	5	0.2	0.2	Concordant
T6	IRF4	chr6	392925	697	3	0.3333	7	0.4286	0.0953	Concordant
T6	IRF4	chr6	392930	702	4	0.25	10	0.5	0.25	AlleleSpecific
T6	IRF4	chr6	392934	706	5	0.0	6	0.6667	0.6667	AlleleSpecific
T6	IRF4	chr6	392936	708	4	0.25	6	0.0	0.25	AlleleSpecific
T6	IRF4	chr6	392952	724	6	0.5	10	0.3	0.2	Concordant
T6	IRF4	chr6	392960	732	3	0.6667	5	0.2	0.4667	AlleleSpecific
T6	IRF4	chr6	392964	736	3	0.3333	7	0.2857	0.0476	Concordant
T6	IRF4	chr6	392975	747	4	0.25	8	0.125	0.125	Concordant
T6	IRF4	chr6	392982	754	3	0.0	5	0.6	0.6	AlleleSpecific
T6	IRF4	chr6	393008	780	5	0.2	11	0.2727	0.0727	Concordant
T6	IRF4	chr6	393016	788	6	0.1667	10	0.3	0.1333	Concordant
T6	IRF4	chr6	393028	800	5	0.2	8	0.5	0.3	AlleleSpecific
T6	IRF4	chr6	393038	810	5	0.2	11	0.2727	0.0727	Concordant
T6	IRF4	chr6	393043	815	5	0.4	8	0.375	0.025	Concordant
T6	IRF4	chr6	393052	824	4	0.75	5	0.6	0.15	Concordant
T6	IRF4	chr6	393059	831	4	0.25	6	0.8333	0.5833	AlleleSpecific
T6	IRF4	chr6	393067	839	6	0.1667	10	0.3	0.1333	Concordant
T6	IRF4	chr6	393093	865	6	0.3333	6	0.3333	0.0	Concordant
T6	IRF4	chr6	393110	882	4	0.5	5	0.6	0.1	Concordant
T6	IRF4	chr6	393114	886	3	0.6667	8	0.5	0.1667	Concordant
T6	IRF4	chr6	393124	896	4	0.25	5	0.4	0.15	Concordant
T6	IRF4	chr6	393128	900	3	0.3333	9	0.2222	0.1111	Concordant
T6	IRF4	chr6	393130	902	4	0.5	8	0.5	0.0	Concordant
T6	IRF4	chr6	393134	906	6	0.1667	10	0.5	0.3333	AlleleSpecific
T6	IRF4	chr6	393136	908	6	0.1667	9	0.0	0.1667	Concordant
T6	IRF4	chr6	393140	912	4	0.5	7	0.5714	0.0714	Concordant
T6	IRF4	chr6	393145	917	4	0.0	4	0.25	0.25	AlleleSpecific
T6	IRF4	chr6	393147	919	4	0.25	3	0.3333	0.0833	Concordant
T6	IRF4	chr6	393167	939	5	0.2	9	0.2222	0.0222	Concordant
T6	IRF4	chr6	393170	942	6	0.3333	10	0.3	0.0333	Concordant
T6	IRF4	chr6	393174	946	5	0.6	10	0.4	0.2	Concordant
T6	IRF4	chr6	393179	951	5	0.2	8	0.25	0.05	Concordant
T6	IRF4	chr6	393188	960	5	0.2	10	0.1	0.1	Concordant
T6	IRF4	chr6	393197	969	6	0.3333	7	0.2857	0.0476	Concordant
T6	IRF4	chr6	393199	971	5	0.2	9	0.5556	0.3556	AlleleSpecific
T6	IRF4	chr6	393209	981	3	0.0	6	0.5	0.5	AlleleSpecific
T6	IRF4	chr6	393225	997	5	0.2	9	0.4444	0.2444	Concordant
T6	IRF4	chr6	393239	1011	6	0.1667	11	0.3636	0.1969	Concordant
T6	IRF4	chr6	393248	1020	5	1.0	10	0.6	0.4	AlleleSpecific
T6	IRF4	chr6	393266	1038	3	0.3333	9	0.6667	0.3334	AlleleSpecific
T6	IRF4	chr6	393284	1056	3	0.0	9	0.7778	0.7778	AlleleSpecific
T6	IRF4	chr6	393303	1075	5	0.6	8	0.875	0.275	AlleleSpecific
T6	IRF4	chr6	393320	1092	3	0.6667	6	0.3333	0.3334	AlleleSpecific
T6	IRF4	chr6	393322	1094	5	0.4	9	0.3333	0.0667	Concordant
T6	IRF4	chr6	393342	1114	4	0.25	7	0.5714	0.3214	AlleleSpecific
T6	IRF4	chr6	393344	1116	4	1.0	8	0.5	0.5	AlleleSpecific
T6	IRF4	chr6	393353	1125	4	0.25	6	0.6667	0.4167	AlleleSpecific
T6	IRF4	chr6	393356	1128	3	0.0	7	0.4286	0.4286	AlleleSpecific
T6	IRF4	chr6	393358	1130	5	0.8	8	0.25	0.55	AlleleSpecific
T6	IRF4	chr6	393374	1146	5	0.4	10	0.6	0.2	Concordant
T6	IRF4	chr6	393380	1152	5	0.4	8	0.375	0.025	Concordant
T6	IRF4	chr6	393387	1159	6	0.1667	7	0.2857	0.119	Concordant
T6	IRF4	chr6	393390	1162	5	0.4	6	0.8333	0.4333	AlleleSpecific
T6	IRF4	chr6	393396	1168	4	0.25	8	0.25	0.0	Concordant
T6	IRF4	chr6	393401	1173	4	0.25	8	0.75	0.5	AlleleSpecific
T6	IRF4	chr6	393425	1197	3	0.3333	6	0.3333	0.0	Concordant
T6	IRF4	chr6	393434	1206	4	0.0	7	0.2857	0.2857	AlleleSpecific
T6	IRF4	chr6	393440	1212	5	0.0	9	0.4444	0.4444	AlleleSpecific
T6	IRF4	chr6	393446	1218	6	0.3333	10	0.4	0.0667	Concordant
T6	IRF4	chr6	393451	1223	3	0.0	8	0.125	0.125	Concordant
T6	IRF4	chr6	393465	1237	4	0.75	9	0.2222	0.5278	AlleleSpecific
T6	IRF4	chr6	393467	1239	6	0.3333	8	0.375	0.0417	Concordant
T6	IRF4	chr6	393469	1241	6	0.1667	6	0.5	0.3333	AlleleSpecific
T6	IRF4	chr6	393474	1246	4	0.25	8	0.375	0.125	Concordant
T6	IRF4	chr6	393478	1250	5	0.4	6	0.5	0.1	Concordant
T6	IRF4	chr6	393482	1254	6	0.0	7	0.1429	0.1429	Concordant
T6	IRF4	chr6	393486	1258	5	0.4	10	0.3	0.1	Concordant
T6	IRF4	chr6	393489	1261	5	0.4	7	0.2857	0.1143	Concordant
T6	IRF4	chr6	393505	1277	6	0.3333	8	0.125	0.2083	Concordant
T6	IRF4	chr6	393508	1280	6	0.3333	11	0.1818	0.1515	Concordant
T6	IRF4	chr6	393511	1283	4	0.25	11	0.5455	0.2955	AlleleSpecific
T6	IRF4	chr6	393517	1289	5	0.4	10	0.6	0.2	Concordant
T6	IRF4	chr6	393540	1312	5	0.2	9	0.2222	0.0222	Concordant
T6	IRF4	chr6	393550	1322	3	0.0	7	0.1429	0.1429	Concordant
T6	IRF4	chr6	393556	1328	5	0.6	9	0.3333	0.2667	AlleleSpecific
T6	IRF4	chr6	393558	1330	4	0.25	7	0.2857	0.0357	Concordant
T6	IRF4	chr6	393565	1337	4	0.75	9	0.4444	0.3056	AlleleSpecific
T6	IRF4	chr6	393572	1344	5	0.4	7	0.2857	0.1143	Concordant
T6	IRF4	chr6	393583	1355	5	0.6	8	0.25	0.35	AlleleSpecific
T6	IRF4	chr6	393585	1357	4	0.5	8	0.125	0.375	AlleleSpecific
T6	IRF4	chr6	393605	1377	4	0.0	8	0.5	0.5	AlleleSpecific
T6	IRF4	chr6	393616	1388	5	0.0	7	0.0	0.0	Concordant
T6	IRF4	chr6	393620	1392	6	0.1667	8	0.0	0.1667	Concordant
T6	IRF4	chr6	393626	1398	3	1.0	4	0.0	1.0	AlleleSpecific
T6	IRF4	chr6	393636	1408	3	0.6667	7	0.0	0.6667	AlleleSpecific
T6	IRF4	chr6	393660	1432	4	0.5	8	0.125	0.375	AlleleSpecific
T6	IRF4	chr6	393662	1434	4	0.25	9	0.1111	0.1389	Concordant
T6	IRF4	chr6	393666	1438	6	0.1667	11	0.0909	0.0758	Concordant
T6	IRF4	chr6	393670	1442	6	0.3333	11	0.3636	0.0303	Concordant
T6	IRF4	chr6	393674	1446	5	0.4	7	0.4286	0.0286	Concordant
T6	IRF4	chr6	393680	1452	6	0.0	9	0.1111	0.1111	Concordant
T6	IRF4	chr6	393688	1460	4	0.0	5	0.2	0.2	Concordant
T6	IRF4	chr6	393699	1471	5	0.0	8	0.375	0.375	AlleleSpecific
T6	IRF4	chr6	393710	1482	5	0.4	10	0.2	0.2	Concordant
T6	IRF4	chr6	393718	1490	5	0.2	7	0.2857	0.0857	Concordant
T6	IRF4	chr6	393725	1497	3	0.0	11	0.3636	0.3636	AlleleSpecific
T6	IRF4	chr6	393731	1503	5	0.2	8	0.375	0.175	Concordant
T6	IRF4	chr6	393735	1507	5	0.0	7	0.4286	0.4286	AlleleSpecific
T6	IRF4	chr6	393748	1520	5	0.4	6	0.1667	0.2333	Concordant
T6	IRF4	chr6	393757	1529	5	0.2	9	0.0	0.2	Concordant
T6	IRF4	chr6	393761	1533	4	0.25	7	0.5714	0.3214	AlleleSpecific
T6	IRF4	chr6	393765	1537	4	0.0	8	0.0	0.0	Concordant
T6	IRF4	chr6	393767	1539	3	0.0	6	0.3333	0.3333	AlleleSpecific
T6	IRF4	chr6	393776	1548	5	0.2	10	0.0	0.2	Concordant
T6	IRF4	chr6	393779	1551	4	0.75	8	0.875	0.125	Concordant
T6	IRF4	chr6	393789	1561	4	0.5	8	0.375	0.125	Concordant
T6	IRF4	chr6	393799	1571	4	0.5	8	0.625	0.125	Concordant
T6	IRF4	chr6	393801	1573	3	0.3333	7	0.2857	0.0476	Concordant
T6	IRF4	chr6	393819	1591	5	1.0	9	0.8889	0.1111	Concordant
T6	IRF4	chr6	393880	1652	6	0.8333	10	1.0	0.1667	Concordant
T6	IRF4	chr6	393899	1671	4	0.5	4	1.0	0.5	AlleleSpecific
T6	IRF4	chr6	393957	1729	5	0.6	9	0.5556	0.0444	Concordant
T6	IRF4	chr6	394006	1778	3	0.3333	7	0.4286	0.0953	Concordant
T6	IRF4	chr6	394008	1780	3	0.3333	7	0.2857	0.0476	Concordant
T6	IRF4	chr6	394020	1792	3	0.6667	8	0.625	0.0417	Concordant
T6	IRF4	chr6	394027	1799	5	0.8	7	0.5714	0.2286	Concordant
T6	IRF4	chr6	394035	1807	3	0.6667	4	0.25	0.4167	AlleleSpecific
T6	IRF4	chr6	394073	1845	5	0.4	7	0.1429	0.2571	AlleleSpecific
T6	IRF4	chr6	394127	1899	5	0.2	10	0.4	0.2	Concordant
T6	IRF4	chr6	394277	2049	3	0.3333	9	0.7778	0.4445	AlleleSpecific
T6	IRF4	chr6	394292	2064	6	0.5	8	0.75	0.25	AlleleSpecific
T6	IRF4	chr6	394391	2163	4	1.0	6	0.8333	0.1667	Concordant
T6	IRF4	chr6	394632	2404	4	0.75	10	1.0	0.25	AlleleSpecific
T6	IRF4	chr6	394687	2459	3	0.3333	4	0.75	0.4167	AlleleSpecific
T6	IRF4	chr6	394709	2481	5	0.8	7	0.5714	0.2286	Concordant
T6	IRF4	chr6	394796	2568	4	0.75	8	0.5	0.25	AlleleSpecific
T6	IRF4	chr6	394848	2620	5	0.6	5	0.6	0.0	Concordant
T6	IRF4	chr6	394859	2631	5	0.2	9	0.5556	0.3556	AlleleSpecific
T6	IRF4	chr6	394901	2673	4	0.25	5	0.2	0.05	Concordant
T6	IRF4	chr6	394966	2738	4	0.75	8	0.875	0.125	Concordant
T6	IRF4	chr6	395576	3348	3	0.6667	7	1.0	0.3333	AlleleSpecific
T6	IRF4	chr6	395734	3506	6	1.0	10	0.9	0.1	Concordant
T6	IRF4	chr6	395813	3585	5	0.8	6	0.8333	0.0333	Concordant
T6	IRF4	chr6	395910	3682	4	0.75	6	0.6667	0.0833	Concordant
T6	IRF4	chr6	395922	3694	3	0.6667	4	1.0	0.3333	AlleleSpecific
T6	IRF4	chr6	396082	3854	3	1.0	6	1.0	0.0	Concordant
T6	IRF4	chr6	396102	3874	4	1.0	7	1.0	0.0	Concordant
T6	IRF4	chr6	396141	3913	5	1.0	8	1.0	0.0	Concordant
T6	IRF4	chr6	396145	3917	3	0.6667	7	1.0	0.3333	AlleleSpecific
T6	IRF4	chr6	396151	3923	5	0.8	9	1.0	0.2	Concordant
T6	IRF4	chr6	396539	4311	4	1.0	8	0.875	0.125	Concordant
T6	IRF4	chr6	396591	4363	4	1.0	8	1.0	0.0	Concordant
T6	IRF4	chr6	396596	4368	7	0.7143	7	0.7143	0.0	Concordant
T6	IRF4	chr6	396643	4415	5	1.0	9	0.7778	0.2222	Concordant
T6	IRF4	chr6	396648	4420	7	0.7143	9	0.4444	0.2699	AlleleSpecific
T6	IRF4	chr6	396695	4467	3	0.6667	9	0.3333	0.3334	AlleleSpecific
T6	IRF4	chr6	396700	4472	7	0.2857	9	0.5556	0.2699	AlleleSpecific
T6	IRF4	chr6	396747	4519	4	1.0	5	1.0	0.0	Concordant
T6	IRF4	chr6	396799	4571	4	1.0	3	1.0	0.0	Concordant
T6	IRF4	chr6	396851	4623	4	0.75	7	0.8571	0.1071	Concordant
