Target_ID	Target_Name	Chr	Genomic_Pos	Target_Pos	Total_Depth	Methylated_Reads	Unmethylated_Reads	Methylation_Frequency	GC_Context_100bp	WGBS_Benchmark_Freq
T1	OCA2	chr15	27985078	1798	21	7	14	0.3333	0.59	0.5759
T1	OCA2	chr15	27985101	1821	17	9	8	0.5294	0.56	0.5413
T1	OCA2	chr15	27985125	1845	13	5	8	0.3846	0.61	0.4151
T1	OCA2	chr15	27985129	1849	8	1	7	0.125	0.6	0.4788
T1	OCA2	chr15	27985131	1851	8	4	4	0.5	0.61	0.3878
T1	OCA2	chr15	27985166	1886	12	5	7	0.4167	0.62	0.4985
T1	OCA2	chr15	27985172	1892	18	7	11	0.3889	0.62	0.3342
T1	OCA2	chr15	27985181	1901	17	8	9	0.4706	0.59	0.4018
T1	OCA2	chr15	27985235	1955	14	12	2	0.8571	0.51	0.6129
T1	OCA2	chr15	27985320	2040	14	11	3	0.7857	0.54	0.7966
T1	OCA2	chr15	27985337	2057	11	7	4	0.6364	0.51	0.7561
T1	OCA2	chr15	27985360	2080	14	8	6	0.5714	0.57	0.398
T1	OCA2	chr15	27985476	2196	15	10	5	0.6667	0.5	0.8069
T1	OCA2	chr15	27985487	2207	17	14	3	0.8235	0.47	0.7163
T1	OCA2	chr15	27985761	2481	81	37	44	0.4568	0.58	0.3683
T1	OCA2	chr15	27985780	2500	92	45	47	0.4891	0.61	0.4317
T1	OCA2	chr15	27985804	2524	69	31	38	0.4493	0.61	0.4417
T1	OCA2	chr15	27985817	2537	94	56	38	0.5957	0.56	0.3735
T1	OCA2	chr15	27985837	2557	84	71	13	0.8452	0.49	0.6739
T1	OCA2	chr15	27985849	2569	98	81	17	0.8265	0.49	0.7452
T1	OCA2	chr15	27985926	2646	75	61	14	0.8133	0.52	0.6898
T1	OCA2	chr15	27985970	2690	74	64	10	0.8649	0.5	0.8749
T1	OCA2	chr15	27985982	2702	45	34	11	0.7556	0.46	0.7857
T1	OCA2	chr15	27986340	3060	23	21	2	0.913	0.34	0.8301
T1	OCA2	chr15	27986604	3324	16	16	0	1.0	0.34	0.7552
T1	OCA2	chr15	27986614	3334	15	11	4	0.7333	0.34	0.8137
T1	OCA2	chr15	27986699	3419	24	22	2	0.9167	0.42	0.8601
T1	OCA2	chr15	27986788	3508	16	16	0	1.0	0.49	0.9475
T1	OCA2	chr15	27986977	3697	8	8	0	1.0	0.51	0.8693
T1	OCA2	chr15	27987012	3732	22	9	13	0.4091	0.58	0.4713
T1	OCA2	chr15	27987016	3736	20	11	9	0.55	0.59	0.5796
T1	OCA2	chr15	27987046	3766	24	21	3	0.875	0.49	0.8338
T1	OCA2	chr15	27987457	4177	821	708	113	0.8624	0.54	0.8561
T1	OCA2	chr15	27987490	4210	776	504	272	0.6495	0.61	0.5329
T1	OCA2	chr15	27987494	4214	812	507	305	0.6244	0.59	0.6881
T1	OCA2	chr15	27987501	4221	810	549	261	0.6778	0.59	0.6413
T1	OCA2	chr15	27987515	4235	919	803	116	0.8738	0.52	0.8453
T1	OCA2	chr15	27987597	4317	809	771	38	0.953	0.47	0.9916
T1	OCA2	chr15	27987601	4321	873	779	94	0.8923	0.47	0.8286
T1	OCA2	chr15	27987658	4378	715	400	315	0.5594	0.61	0.5838
T1	OCA2	chr15	27987685	4405	861	429	432	0.4983	0.55	0.4946
T1	OCA2	chr15	27987714	4434	703	594	109	0.845	0.46	0.9629
T1	OCA2	chr15	27987741	4461	33	27	6	0.8182	0.4	0.8695
T1	OCA2	chr15	27988014	4734	21	18	3	0.8571	0.54	0.7902
T1	OCA2	chr15	27988022	4742	17	12	5	0.7059	0.54	0.8548
T1	OCA2	chr15	27988032	4752	8	5	3	0.625	0.57	0.564
T1	OCA2	chr15	27988052	4772	24	11	13	0.4583	0.55	0.3219
T1	OCA2	chr15	27988060	4780	23	19	4	0.8261	0.54	0.8203
T1	OCA2	chr15	27988076	4796	20	16	4	0.8	0.52	0.7212
T1	OCA2	chr15	27988217	4937	22	7	15	0.3182	0.58	0.3527
T1	OCA2	chr15	27988263	4983	24	20	4	0.8333	0.49	0.8246
T1	OCA2	chr15	27988281	5001	24	18	6	0.75	0.48	0.6879
T1	OCA2	chr15	27988290	5010	29	25	4	0.8621	0.45	0.7457
T1	OCA2	chr15	27988390	5110	19	10	9	0.5263	0.47	0.6163
T1	OCA2	chr15	27988493	5213	22	12	10	0.5455	0.49	0.7576
T1	OCA2	chr15	27988513	5233	24	18	6	0.75	0.53	0.8206
T1	OCA2	chr15	27988579	5299	18	10	8	0.5556	0.52	0.7828
T1	OCA2	chr15	27988587	5307	22	18	4	0.8182	0.5	0.7272
T1	OCA2	chr15	27988642	5362	22	16	6	0.7273	0.38	0.7703
T1	OCA2	chr15	27988706	5426	22	16	6	0.7273	0.38	0.6023
T1	OCA2	chr15	27988767	5487	18	14	4	0.7778	0.46	0.7868
T1	OCA2	chr15	27988778	5498	25	21	4	0.84	0.5	0.5189
T1	OCA2	chr15	27988836	5556	21	4	17	0.1905	0.57	0.393
T1	OCA2	chr15	27988857	5577	27	14	13	0.5185	0.63	0.5024
T1	OCA2	chr15	27988862	5582	20	4	16	0.2	0.62	0.3359
T1	OCA2	chr15	27988894	5614	25	11	14	0.44	0.56	0.29
T1	OCA2	chr15	27988921	5641	26	18	8	0.6923	0.54	0.7096
T1	OCA2	chr15	27988952	5672	28	16	12	0.5714	0.54	0.6637
T1	OCA2	chr15	27989044	5764	25	11	14	0.44	0.6	0.375
T1	OCA2	chr15	27989126	5846	21	18	3	0.8571	0.54	0.6718
T1	OCA2	chr15	27989139	5859	14	6	8	0.4286	0.58	0.4788
T1	OCA2	chr15	27989333	6053	23	17	6	0.7391	0.28	0.7207
T1	OCA2	chr15	27989386	6106	18	14	4	0.7778	0.45	0.8155
T1	OCA2	chr15	27989395	6115	24	17	7	0.7083	0.46	0.7297
T1	OCA2	chr15	27989416	6136	21	15	6	0.7143	0.5	0.872
T1	OCA2	chr15	27989422	6142	21	14	7	0.6667	0.52	0.777
T1	OCA2	chr15	27989498	6218	26	21	5	0.8077	0.51	0.7818
T1	OCA2	chr15	27989531	6251	21	13	8	0.619	0.61	0.5114
T1	OCA2	chr15	27989552	6272	17	12	5	0.7059	0.59	0.5003
T1	OCA2	chr15	27989559	6279	17	4	13	0.2353	0.59	0.5336
T1	OCA2	chr15	27989565	6285	28	10	18	0.3571	0.61	0.446
T1	OCA2	chr15	27989582	6302	24	12	12	0.5	0.62	0.5199
T1	OCA2	chr15	27989622	6342	19	12	7	0.6316	0.57	0.4825
T1	OCA2	chr15	27989699	6419	15	7	8	0.4667	0.55	0.5198
T1	OCA2	chr15	27989703	6423	16	8	8	0.5	0.55	0.4191
T1	OCA2	chr15	27989706	6426	24	13	11	0.5417	0.56	0.456
T1	OCA2	chr15	27989734	6454	20	15	5	0.75	0.59	0.5491
T1	OCA2	chr15	27989766	6486	21	11	10	0.5238	0.56	0.4448
T1	OCA2	chr15	27989819	6539	24	21	3	0.875	0.43	0.9506
T1	OCA2	chr15	27989922	6642	24	24	0	1.0	0.52	0.9098
T1	OCA2	chr15	27989946	6666	25	17	8	0.68	0.62	0.5733
T1	OCA2	chr15	27989978	6698	23	10	13	0.4348	0.58	0.5053
T1	OCA2	chr15	27990175	6895	31	18	13	0.5806	0.62	0.7161
T1	OCA2	chr15	27990253	6973	28	14	14	0.5	0.6	0.596
T1	OCA2	chr15	27990349	7069	22	22	0	1.0	0.52	0.9359
T1	OCA2	chr15	27990467	7187	25	20	5	0.8	0.42	0.9469
T1	OCA2	chr15	27990496	7216	21	21	0	1.0	0.44	0.953
T1	OCA2	chr15	27990578	7298	25	16	9	0.64	0.57	0.5756
T1	OCA2	chr15	27990627	7347	26	16	10	0.6154	0.57	0.4698
T1	OCA2	chr15	27990644	7364	25	17	8	0.68	0.58	0.6354
T1	OCA2	chr15	27990672	7392	13	11	2	0.8462	0.54	0.9756
T1	OCA2	chr15	27990674	7394	15	8	7	0.5333	0.55	0.6477
T1	OCA2	chr15	27990686	7406	27	25	2	0.9259	0.52	0.7978
T1	OCA2	chr15	27990704	7424	21	21	0	1.0	0.53	1.0
T1	OCA2	chr15	27990830	7550	28	25	3	0.8929	0.48	0.8691
T1	OCA2	chr15	27990891	7611	21	15	6	0.7143	0.44	0.8413
T1	OCA2	chr15	27991243	7963	19	14	5	0.7368	0.39	0.7778
T1	OCA2	chr15	27991363	8083	28	17	11	0.6071	0.41	0.8653
T1	OCA2	chr15	27991393	8113	33	26	7	0.7879	0.45	0.8749
T1	OCA2	chr15	27991417	8137	16	12	4	0.75	0.47	0.6432
T1	OCA2	chr15	27991427	8147	23	14	9	0.6087	0.49	0.6484
T1	OCA2	chr15	27991433	8153	26	20	6	0.7692	0.49	0.7417
T1	OCA2	chr15	27991489	8209	22	20	2	0.9091	0.4	0.6999
T1	OCA2	chr15	27991588	8308	29	22	7	0.7586	0.5	0.7608
T1	OCA2	chr15	27991765	8485	24	18	6	0.75	0.31	0.696
T1	OCA2	chr15	27991777	8497	32	23	9	0.7188	0.35	0.6785
T1	OCA2	chr15	27992073	8793	22	15	7	0.6818	0.32	0.7549
T1	OCA2	chr15	27992103	8823	32	27	5	0.8438	0.43	0.7576
T1	OCA2	chr15	27992123	8843	178	126	52	0.7079	0.5	0.698
T1	OCA2	chr15	27992136	8856	146	92	54	0.6301	0.51	0.6749
T1	OCA2	chr15	27992142	8862	164	116	48	0.7073	0.51	0.7929
T1	OCA2	chr15	27992166	8886	152	60	92	0.3947	0.57	0.3125
T1	OCA2	chr15	27992289	9009	193	133	60	0.6891	0.51	0.7474
T1	OCA2	chr15	27992352	9072	196	59	137	0.301	0.62	0.2761
T1	OCA2	chr15	27992389	9109	137	112	25	0.8175	0.53	0.7809
T1	OCA2	chr15	27992391	9111	111	93	18	0.8378	0.54	0.8648
T1	OCA2	chr15	27992499	9219	36	18	18	0.5	0.64	0.5338
T1	OCA2	chr15	27992520	9240	20	9	11	0.45	0.62	0.2911
T1	OCA2	chr15	27992563	9283	37	12	25	0.3243	0.57	0.3752
T1	OCA2	chr15	27992582	9302	20	16	4	0.8	0.46	0.9561
T1	OCA2	chr15	27992807	9527	35	29	6	0.8286	0.5	0.8484
T1	OCA2	chr15	27992840	9560	29	7	22	0.2414	0.55	0.5718
T1	OCA2	chr15	27992870	9590	62	32	30	0.5161	0.56	0.5581
T1	OCA2	chr15	27992926	9646	61	58	3	0.9508	0.47	0.8159
T1	OCA2	chr15	27993016	9736	57	52	5	0.9123	0.53	0.8812
T1	OCA2	chr15	27993110	9830	57	53	4	0.9298	0.52	1.0
T1	OCA2	chr15	27993118	9838	27	21	6	0.7778	0.525	0.8935
T2	HERC2/OCA2	chr15	28112773	72	5	2	3	0.4	0.41	0.8687
T2	HERC2/OCA2	chr15	28112800	99	6	3	3	0.5	0.43	0.8012
T2	HERC2/OCA2	chr15	28112976	275	7	6	1	0.8571	0.49	0.9105
T2	HERC2/OCA2	chr15	28113087	386	6	4	2	0.6667	0.71	0.2703
T2	HERC2/OCA2	chr15	28113100	399	5	2	3	0.4	0.66	0.2489
T2	HERC2/OCA2	chr15	28113126	425	6	5	1	0.8333	0.63	0.5397
T2	HERC2/OCA2	chr15	28113206	505	5	3	2	0.6	0.56	0.63
T2	HERC2/OCA2	chr15	28113220	519	6	4	2	0.6667	0.57	0.3774
T2	HERC2/OCA2	chr15	28113310	609	5	3	2	0.6	0.65	0.606
T2	HERC2/OCA2	chr15	28113336	635	7	5	2	0.7143	0.63	0.5922
T2	HERC2/OCA2	chr15	28113346	645	6	4	2	0.6667	0.61	0.5656
T2	HERC2/OCA2	chr15	28113576	875	7	4	3	0.5714	0.62	0.6604
T2	HERC2/OCA2	chr15	28113587	886	5	4	1	0.8	0.64	0.5161
T2	HERC2/OCA2	chr15	28113593	892	6	2	4	0.3333	0.64	0.5867
T2	HERC2/OCA2	chr15	28113643	942	5	4	1	0.8	0.55	0.5226
T2	HERC2/OCA2	chr15	28113774	1073	7	5	2	0.7143	0.59	0.53
T2	HERC2/OCA2	chr15	28113833	1132	6	3	3	0.5	0.59	0.5626
T2	HERC2/OCA2	chr15	28113878	1177	6	3	3	0.5	0.6	0.6384
T2	HERC2/OCA2	chr15	28113994	1293	7	4	3	0.5714	0.63	0.6445
T2	HERC2/OCA2	chr15	28114005	1304	6	3	3	0.5	0.63	0.5079
T2	HERC2/OCA2	chr15	28114039	1338	6	2	4	0.3333	0.68	0.2559
T2	HERC2/OCA2	chr15	28114110	1409	5	3	2	0.6	0.66	0.2192
T2	HERC2/OCA2	chr15	28114206	1505	5	5	0	1.0	0.6	0.5449
T2	HERC2/OCA2	chr15	28114221	1520	5	1	4	0.2	0.6	0.4696
T2	HERC2/OCA2	chr15	28114241	1540	5	2	3	0.4	0.62	0.3804
T2	HERC2/OCA2	chr15	28114597	1896	7	7	0	1.0	0.5	0.7976
T2	HERC2/OCA2	chr15	28114623	1922	5	3	2	0.6	0.52	0.6899
T2	HERC2/OCA2	chr15	28114643	1942	5	1	4	0.2	0.56	0.5029
T2	HERC2/OCA2	chr15	28115140	2439	5	1	4	0.2	0.64	0.3429
T2	HERC2/OCA2	chr15	28115365	2664	5	3	2	0.6	0.62	0.4296
T2	HERC2/OCA2	chr15	28115512	2811	5	2	3	0.4	0.59	0.3514
T2	HERC2/OCA2	chr15	28115598	2897	5	4	1	0.8	0.51	0.8962
T2	HERC2/OCA2	chr15	28115612	2911	6	5	1	0.8333	0.53	0.7415
T2	HERC2/OCA2	chr15	28115699	2998	7	4	3	0.5714	0.49	0.6975
T2	HERC2/OCA2	chr15	28115893	3192	5	0	5	0.0	0.67	0.3032
T2	HERC2/OCA2	chr15	28116036	3335	5	1	4	0.2	0.56	0.5684
T2	HERC2/OCA2	chr15	28116066	3365	5	2	3	0.4	0.64	0.6033
T2	HERC2/OCA2	chr15	28116109	3408	5	1	4	0.2	0.65	0.366
T2	HERC2/OCA2	chr15	28116123	3422	5	1	4	0.2	0.62	0.5009
T2	HERC2/OCA2	chr15	28116146	3445	5	3	2	0.6	0.58	0.5092
T2	HERC2/OCA2	chr15	28116164	3463	5	4	1	0.8	0.5	0.8232
T2	HERC2/OCA2	chr15	28116194	3493	5	5	0	1.0	0.34	0.8582
T2	HERC2/OCA2	chr15	28116276	3575	82	68	14	0.8293	0.48	0.8365
T2	HERC2/OCA2	chr15	28116299	3598	140	79	61	0.5643	0.59	0.5174
T2	HERC2/OCA2	chr15	28116306	3605	137	62	75	0.4526	0.58	0.5212
T2	HERC2/OCA2	chr15	28116405	3704	109	87	22	0.7982	0.47	0.8055
T2	HERC2/OCA2	chr15	28116436	3735	111	102	9	0.9189	0.49	0.8574
T2	HERC2/OCA2	chr15	28116496	3795	81	70	11	0.8642	0.52	0.8111
T2	HERC2/OCA2	chr15	28116506	3805	52	50	2	0.9615	0.48	0.9183
T2	HERC2/OCA2	chr15	28116508	3807	45	45	0	1.0	0.48	1.0
T2	HERC2/OCA2	chr15	28116649	3948	5	5	0	1.0	0.58	0.6795
T2	HERC2/OCA2	chr15	28116692	3991	5	4	1	0.8	0.66	0.2403
T2	HERC2/OCA2	chr15	28116704	4003	7	4	3	0.5714	0.65	0.6804
T2	HERC2/OCA2	chr15	28116708	4007	5	2	3	0.4	0.66	0.3496
T2	HERC2/OCA2	chr15	28116730	4029	6	3	3	0.5	0.67	0.3988
T2	HERC2/OCA2	chr15	28116755	4054	5	2	3	0.4	0.65	0.4526
T2	HERC2/OCA2	chr15	28116767	4066	6	5	1	0.8333	0.61	0.5226
T2	HERC2/OCA2	chr15	28116780	4079	7	7	0	1.0	0.61	0.6019
T2	HERC2/OCA2	chr15	28116788	4087	5	3	2	0.6	0.62	0.6192
T2	HERC2/OCA2	chr15	28116833	4132	5	2	3	0.4	0.59	0.5117
T2	HERC2/OCA2	chr15	28116922	4221	6	4	2	0.6667	0.62	0.6574
T2	HERC2/OCA2	chr15	28116975	4274	7	5	2	0.7143	0.62	0.4844
T2	HERC2/OCA2	chr15	28116997	4296	5	3	2	0.6	0.61	0.6564
T2	HERC2/OCA2	chr15	28117036	4335	6	5	1	0.8333	0.55	0.5914
T2	HERC2/OCA2	chr15	28117058	4357	6	5	1	0.8333	0.53	0.972
T2	HERC2/OCA2	chr15	28117112	4411	5	3	2	0.6	0.58	0.5077
T2	HERC2/OCA2	chr15	28117130	4429	5	3	2	0.6	0.61	0.6225
T2	HERC2/OCA2	chr15	28117147	4446	5	2	3	0.4	0.65	0.4372
T2	HERC2/OCA2	chr15	28117178	4477	5	4	1	0.8	0.62	0.496
T2	HERC2/OCA2	chr15	28117212	4511	7	2	5	0.2857	0.65	0.4587
T2	HERC2/OCA2	chr15	28117239	4538	5	4	1	0.8	0.65	0.489
T2	HERC2/OCA2	chr15	28117253	4552	5	2	3	0.4	0.66	0.2562
T2	HERC2/OCA2	chr15	28117312	4611	5	0	5	0.0	0.68	0.2626
T2	HERC2/OCA2	chr15	28117321	4620	6	0	6	0.0	0.66	0.2461
T2	HERC2/OCA2	chr15	28117325	4624	5	0	5	0.0	0.67	0.169
T2	HERC2/OCA2	chr15	28117339	4638	6	1	5	0.1667	0.68	0.3564
T2	HERC2/OCA2	chr15	28117345	4644	5	1	4	0.2	0.7	0.1351
T2	HERC2/OCA2	chr15	28117370	4669	5	3	2	0.6	0.62	0.52
T2	HERC2/OCA2	chr15	28117450	4749	7	0	7	0.0	0.61	0.5489
T2	HERC2/OCA2	chr15	28117467	4766	5	2	3	0.4	0.64	0.5776
T2	HERC2/OCA2	chr15	28117601	4900	5	3	2	0.6	0.55	0.5663
T2	HERC2/OCA2	chr15	28117848	5147	6	0	6	0.0	0.69	0.1152
T2	HERC2/OCA2	chr15	28117861	5160	5	0	5	0.0	0.67	0.0
T2	HERC2/OCA2	chr15	28117869	5168	7	1	6	0.1429	0.68	0.1778
T2	HERC2/OCA2	chr15	28118151	5450	8	6	2	0.75	0.53	0.6749
T2	HERC2/OCA2	chr15	28118169	5468	5	2	3	0.4	0.55	0.4315
T2	HERC2/OCA2	chr15	28118246	5545	6	2	4	0.3333	0.61	0.3382
T2	HERC2/OCA2	chr15	28118249	5548	5	4	1	0.8	0.6	0.434
T2	HERC2/OCA2	chr15	28118283	5582	5	3	2	0.6	0.64	0.4936
T2	HERC2/OCA2	chr15	28118292	5591	6	5	1	0.8333	0.65	0.3261
T2	HERC2/OCA2	chr15	28118667	5966	6	5	1	0.8333	0.63	0.4522
T2	HERC2/OCA2	chr15	28118687	5986	5	1	4	0.2	0.67	0.099
T2	HERC2/OCA2	chr15	28118703	6002	7	0	7	0.0	0.66	0.1498
T2	HERC2/OCA2	chr15	28118714	6013	5	1	4	0.2	0.67	0.2086
T2	HERC2/OCA2	chr15	28118737	6036	5	1	4	0.2	0.59	0.5519
T2	HERC2/OCA2	chr15	28118841	6140	7	5	2	0.7143	0.46	0.7205
T2	HERC2/OCA2	chr15	28118869	6168	6	1	5	0.1667	0.61	0.3782
T2	HERC2/OCA2	chr15	28118991	6290	6	4	2	0.6667	0.52	0.7695
T2	HERC2/OCA2	chr15	28118995	6294	12	12	0	1.0	0.53	0.9169
T2	HERC2/OCA2	chr15	28119005	6304	31	28	3	0.9032	0.53	0.7579
T2	HERC2/OCA2	chr15	28119129	6428	42	35	7	0.8333	0.54	0.7758
T2	HERC2/OCA2	chr15	28119161	6460	99	63	36	0.6364	0.59	0.4904
T2	HERC2/OCA2	chr15	28119166	6465	94	48	46	0.5106	0.61	0.5868
T2	HERC2/OCA2	chr15	28119272	6571	97	92	5	0.9485	0.42	0.9256
T2	HERC2/OCA2	chr15	28119378	6677	97	95	2	0.9794	0.41	0.8913
T2	HERC2/OCA2	chr15	28119455	6754	42	35	7	0.8333	0.32	0.8048
T2	HERC2/OCA2	chr15	28119492	6791	65	60	5	0.9231	0.48	1.0
T2	HERC2/OCA2	chr15	28119508	6807	47	46	1	0.9787	0.54	0.932
T2	HERC2/OCA2	chr15	28119522	6821	65	40	25	0.6154	0.59	0.5347
T2	HERC2/OCA2	chr15	28119546	6845	95	57	38	0.6	0.58	0.6672
T2	HERC2/OCA2	chr15	28119655	6954	75	55	20	0.7333	0.45	0.87
T2	HERC2/OCA2	chr15	28119702	7001	85	58	27	0.6824	0.56	0.6295
T2	HERC2/OCA2	chr15	28119807	7106	8	8	0	1.0	0.36	1.0
T2	HERC2/OCA2	chr15	28120050	7349	6	1	5	0.1667	0.55	0.5204
T2	HERC2/OCA2	chr15	28120066	7365	7	6	1	0.8571	0.5	1.0
T2	HERC2/OCA2	chr15	28120134	7433	8	7	1	0.875	0.39	0.9504
T2	HERC2/OCA2	chr15	28120198	7497	8	6	2	0.75	0.36	0.9171
T2	HERC2/OCA2	chr15	28120207	7506	8	8	0	1.0	0.41	0.9147
T2	HERC2/OCA2	chr15	28120234	7533	5	5	0	1.0	0.46	0.8593
T2	HERC2/OCA2	chr15	28120446	7745	7	6	1	0.8571	0.43	0.8519
T2	HERC2/OCA2	chr15	28120487	7786	6	6	0	1.0	0.42	0.9966
T2	HERC2/OCA2	chr15	28120595	7894	6	6	0	1.0	0.34	0.7805
T2	HERC2/OCA2	chr15	28120720	8019	8	5	3	0.625	0.48	0.704
T2	HERC2/OCA2	chr15	28120791	8090	5	4	1	0.8	0.54	0.8152
T2	HERC2/OCA2	chr15	28120838	8137	6	0	6	0.0	0.55	0.3634
T2	HERC2/OCA2	chr15	28121043	8342	6	6	0	1.0	0.45	0.5773
T2	HERC2/OCA2	chr15	28121266	8565	9	7	2	0.7778	0.58	0.2488
T2	HERC2/OCA2	chr15	28121292	8591	6	3	3	0.5	0.56	0.4685
T2	HERC2/OCA2	chr15	28121353	8652	8	4	4	0.5	0.55	0.4931
T2	HERC2/OCA2	chr15	28121366	8665	5	4	1	0.8	0.53	0.7057
T2	HERC2/OCA2	chr15	28121416	8715	5	3	2	0.6	0.47	0.7958
T2	HERC2/OCA2	chr15	28121424	8723	7	5	2	0.7143	0.42	0.7645
T2	HERC2/OCA2	chr15	28121618	8917	7	0	7	0.0	0.66	0.1015
T2	HERC2/OCA2	chr15	28121643	8942	6	2	4	0.3333	0.65	0.3952
T2	HERC2/OCA2	chr15	28121692	8991	5	4	1	0.8	0.65	0.3792
T2	HERC2/OCA2	chr15	28121808	9107	7	5	2	0.7143	0.58	0.5294
T2	HERC2/OCA2	chr15	28121854	9153	5	0	5	0.0	0.66	0.1635
T2	HERC2/OCA2	chr15	28121893	9192	6	0	6	0.0	0.72	0.1402
T2	HERC2/OCA2	chr15	28121946	9245	5	1	4	0.2	0.7	0.196
T2	HERC2/OCA2	chr15	28121958	9257	7	3	4	0.4286	0.72	0.0829
T2	HERC2/OCA2	chr15	28121984	9283	5	1	4	0.2	0.71	0.1799
T2	HERC2/OCA2	chr15	28121999	9298	6	1	5	0.1667	0.67	0.1463
T2	HERC2/OCA2	chr15	28122001	9300	5	1	4	0.2	0.68	0.2157
T2	HERC2/OCA2	chr15	28122011	9310	6	0	6	0.0	0.7	0.142
T2	HERC2/OCA2	chr15	28122023	9322	7	1	6	0.1429	0.71	0.1737
T2	HERC2/OCA2	chr15	28122049	9348	5	0	5	0.0	0.68	0.1798
T2	HERC2/OCA2	chr15	28122065	9364	5	1	4	0.2	0.65	0.4165
T2	HERC2/OCA2	chr15	28122089	9388	7	2	5	0.2857	0.64	0.4451
T2	HERC2/OCA2	chr15	28122108	9407	8	2	6	0.25	0.58	0.4649
T2	HERC2/OCA2	chr15	28122154	9453	7	4	3	0.5714	0.58	0.551
T2	HERC2/OCA2	chr15	28122183	9482	6	2	4	0.3333	0.6	0.4925
T2	HERC2/OCA2	chr15	28122204	9503	6	4	2	0.6667	0.68	0.2627
T2	HERC2/OCA2	chr15	28122273	9572	5	1	4	0.2	0.67	0.2121
T2	HERC2/OCA2	chr15	28122278	9577	5	1	4	0.2	0.66	0.2407
T2	HERC2/OCA2	chr15	28122284	9583	8	3	5	0.375	0.63	0.5268
T2	HERC2/OCA2	chr15	28122349	9648	5	3	2	0.6	0.6	0.6701
T2	HERC2/OCA2	chr15	28122361	9660	5	2	3	0.4	0.61	0.616
T2	HERC2/OCA2	chr15	28122473	9772	7	6	1	0.8571	0.63	0.6615
T2	HERC2/OCA2	chr15	28122504	9803	6	0	6	0.0	0.67	0.2793
T2	HERC2/OCA2	chr15	28122578	9877	7	3	4	0.4286	0.7	0.3053
T2	HERC2/OCA2	chr15	28122626	9925	7	3	4	0.4286	0.65	0.7336
T2	HERC2/OCA2	chr15	28122665	9964	6	3	3	0.5	0.58	0.7476
T2	HERC2/OCA2	chr15	28122694	9993	7	5	2	0.7143	0.56	0.5007
T2	HERC2/OCA2	chr15	28122722	10021	6	5	1	0.8333	0.56	0.5368
T2	HERC2/OCA2	chr15	28122764	10063	8	1	7	0.125	0.62	0.6389
T2	HERC2/OCA2	chr15	28122824	10123	8	5	3	0.625	0.69	0.351
T2	HERC2/OCA2	chr15	28122860	10159	5	3	2	0.6	0.68	0.4528
T2	HERC2/OCA2	chr15	28122878	10177	8	6	2	0.75	0.63	0.5475
T2	HERC2/OCA2	chr15	28122901	10200	7	4	3	0.5714	0.56	0.5398
T2	HERC2/OCA2	chr15	28123010	10309	5	5	0	1.0	0.26	0.9689
T2	HERC2/OCA2	chr15	28123153	10452	6	6	0	1.0	0.45	0.942
